,subj1,subj2,vID,language_cor
0,0.0,1.0,1.0,0.6220572362722473
1,0.0,1.0,2.0,0.7550900098712908
2,0.0,1.0,3.0,0.5862991101815451
3,0.0,1.0,4.0,0.7959892366203447
4,0.0,1.0,5.0,0.9541958502530014
5,0.0,1.0,6.0,0.7889916457661543
6,0.0,1.0,7.0,0.5796560633222395
7,0.0,1.0,8.0,0.7496005482229402
8,0.0,1.0,9.0,0.7137013354147118
9,0.0,1.0,10.0,0.8492232815793402
10,0.0,1.0,11.0,0.8506112075350876
11,0.0,1.0,12.0,0.8824564854906142
12,0.0,2.0,1.0,0.9138692586497931
13,0.0,2.0,2.0,0.8782142556764736
14,0.0,2.0,3.0,0.954937917302272
15,0.0,2.0,4.0,0.8999328406559036
16,0.0,2.0,5.0,1.167716633994803
17,0.0,2.0,6.0,0.7789609646145496
18,0.0,2.0,7.0,1.0841857330612772
19,0.0,2.0,8.0,0.818171419363391
20,0.0,2.0,9.0,1.1256657648885235
21,0.0,2.0,10.0,0.8484015670048215
22,0.0,2.0,11.0,0.7660233456391338
23,0.0,2.0,12.0,1.0290390728208938
24,0.0,3.0,1.0,1.0750083743644523
25,0.0,3.0,2.0,1.2380203653380364
26,0.0,3.0,3.0,0.96098928209332
27,0.0,3.0,4.0,0.9635523647133815
28,0.0,3.0,5.0,1.204261818536716
29,0.0,3.0,6.0,0.8171624805584803
30,0.0,3.0,7.0,0.851078574868766
31,0.0,3.0,8.0,1.0503861471029552
32,0.0,3.0,9.0,1.0838120767013202
33,0.0,3.0,10.0,1.1495508903764426
34,0.0,3.0,11.0,1.6964304510393033
35,0.0,3.0,12.0,1.0427745860269821
36,0.0,4.0,1.0,0.8060178661046555
37,0.0,4.0,2.0,0.7979826997248743
38,0.0,4.0,3.0,0.6906692678609679
39,0.0,4.0,4.0,0.6683809535049605
40,0.0,4.0,5.0,1.0005040718658818
41,0.0,4.0,6.0,1.129487108193059
42,0.0,4.0,7.0,0.6309299185821406
43,0.0,4.0,8.0,0.8868124826644407
44,0.0,4.0,9.0,0.6123678466040385
45,0.0,4.0,10.0,0.915226096782269
46,0.0,4.0,11.0,0.6566246295821386
47,0.0,4.0,12.0,0.9199302304383226
48,0.0,5.0,1.0,0.6243565418273466
49,0.0,5.0,2.0,0.7154398761663212
50,0.0,5.0,3.0,0.6569797031450327
51,0.0,5.0,4.0,0.917610826227696
52,0.0,5.0,5.0,1.0013813181297484
53,0.0,5.0,6.0,0.6264099725315241
54,0.0,5.0,7.0,0.719848535966299
55,0.0,5.0,8.0,0.912742486763811
56,0.0,5.0,9.0,0.6617153554492059
57,0.0,5.0,10.0,1.062284517202222
58,0.0,5.0,11.0,0.6851764697936858
59,0.0,5.0,12.0,0.7054718339643418
60,0.0,6.0,1.0,0.7626878111329178
61,0.0,6.0,2.0,0.8351553535822878
62,0.0,6.0,3.0,0.8014748269903835
63,0.0,6.0,4.0,0.8428047090267617
64,0.0,6.0,5.0,1.4824795875021728
65,0.0,6.0,6.0,0.806356920209601
66,0.0,6.0,7.0,0.8938082517929211
67,0.0,6.0,8.0,1.316014483459835
68,0.0,6.0,9.0,0.6880134889076884
69,0.0,6.0,10.0,1.082303289166134
70,0.0,6.0,11.0,0.7929661343554861
71,0.0,6.0,12.0,0.9187319386740523
72,0.0,7.0,1.0,0.8904731466005578
73,0.0,7.0,2.0,0.8963483223327866
74,0.0,7.0,3.0,0.5871719454566259
75,0.0,7.0,4.0,0.6417831610602304
76,0.0,7.0,5.0,0.9719545304909091
77,0.0,7.0,6.0,0.921006945112672
78,0.0,7.0,7.0,0.7429954243118236
79,0.0,7.0,8.0,0.9553161761296285
80,0.0,7.0,9.0,0.877334121326955
81,0.0,7.0,10.0,0.9798593208557649
82,0.0,7.0,11.0,0.8370680068718567
83,0.0,7.0,12.0,0.8183636700035886
84,0.0,8.0,1.0,1.04655764393002
85,0.0,8.0,2.0,1.1485119044236312
86,0.0,8.0,3.0,1.1328922236844623
87,0.0,8.0,4.0,1.6164387026113323
88,0.0,8.0,5.0,1.220937345311756
89,0.0,8.0,6.0,0.926339188647936
90,0.0,8.0,7.0,1.3048712963448221
91,0.0,8.0,8.0,1.2276609565875585
92,0.0,8.0,9.0,0.9302874431745659
93,0.0,8.0,10.0,1.1090527273222037
94,0.0,8.0,11.0,1.0668964193533435
95,0.0,8.0,12.0,1.3805834279103089
96,0.0,9.0,1.0,0.9070632233932712
97,0.0,9.0,2.0,0.8206662450390686
98,0.0,9.0,3.0,0.6622694412069393
99,0.0,9.0,4.0,0.8233438865377833
100,0.0,9.0,5.0,1.0842229306896485
101,0.0,9.0,6.0,0.881858831470935
102,0.0,9.0,7.0,0.8015198673234737
